Algorithm 1,Algorithm 2,Statistic,P-Value,Sig(*)
Naive Bayes,Decision Tree,0.0,8.981125249535405e-05,*
Naive Bayes,Random Forest,17.0,0.006777125014879288,*
Naive Bayes,Gradient Boosting,0.0,8.981125249535405e-05,*
Naive Bayes,LGB,9.0,0.0010800703611076538,*
Naive Bayes,eLCS,0.0,7.647391205932291e-05,*
Naive Bayes,XCS,0.0,7.647391205932291e-05,*
Naive Bayes,ExSTraCS,0.0,9.031736040376755e-05,*
Decision Tree,Random Forest,0.0,8.780776552295432e-05,*
Decision Tree,Gradient Boosting,0.0,8.930724418684081e-05,*
Decision Tree,LGB,0.0,8.930724418684081e-05,*
Decision Tree,eLCS,8.0,0.0006426565906723912,*
Decision Tree,XCS,8.0,0.0007477902770157957,*
Decision Tree,ExSTraCS,8.5,0.000954681728580085,*
Random Forest,Gradient Boosting,0.0,8.780776552295432e-05,*
Random Forest,LGB,30.5,0.07415410438313229,
Random Forest,eLCS,0.0,7.469638317577472e-05,*
Random Forest,XCS,0.0,7.469638317577472e-05,*
Random Forest,ExSTraCS,0.0,8.830550583446751e-05,*
Gradient Boosting,LGB,0.0,8.930724418684081e-05,*
Gradient Boosting,eLCS,0.0,7.602660874819985e-05,*
Gradient Boosting,XCS,0.0,7.602660874819985e-05,*
Gradient Boosting,ExSTraCS,4.5,0.0003286377706240353,*
LGB,eLCS,0.0,7.602660874819985e-05,*
LGB,XCS,0.0,7.602660874819985e-05,*
LGB,ExSTraCS,0.0,8.981125249535405e-05,*
eLCS,XCS,40.0,0.2312000479058705,
eLCS,ExSTraCS,0.0,7.647391205932291e-05,*
XCS,ExSTraCS,0.0,7.647391205932291e-05,*
