Algorithm 1,Algorithm 2,Statistic,P-Value,Sig(*)
Naive Bayes,Decision Tree,0.0,8.632699844113366e-05,*
Naive Bayes,Random Forest,28.0,0.049249465335848834,*
Naive Bayes,Gradient Boosting,0.0,8.583754358560144e-05,*
Naive Bayes,LGB,13.5,0.0027502902693247533,*
Naive Bayes,eLCS,0.0,4.1136494600663154e-05,*
Naive Bayes,XCS,0.0,7.294982138844592e-05,*
Naive Bayes,ExSTraCS,0.0,8.535014725993064e-05,*
Decision Tree,Random Forest,0.0,8.731210427609613e-05,*
Decision Tree,Gradient Boosting,27.5,0.04758849992230176,*
Decision Tree,LGB,0.0,8.058827391361836e-05,*
Decision Tree,eLCS,18.0,0.0054419402952422995,*
Decision Tree,XCS,23.0,0.020301142652297578,*
Decision Tree,ExSTraCS,16.0,0.005527209466817355,*
Random Forest,Gradient Boosting,0.0,8.681851696007563e-05,*
Random Forest,LGB,29.5,0.058628149492431635,
Random Forest,eLCS,0.0,4.170133836441618e-05,*
Random Forest,XCS,0.0,7.381925187623e-05,*
Random Forest,ExSTraCS,1.0,0.00011466348116526125,*
Gradient Boosting,LGB,0.5,9.277040027730827e-05,*
Gradient Boosting,eLCS,1.5,6.980599977082362e-05,*
Gradient Boosting,XCS,8.5,0.0008491054144974921,*
Gradient Boosting,ExSTraCS,32.5,0.09811144418086759,
LGB,eLCS,0.0,3.786893544617724e-05,*
LGB,XCS,0.0,6.789266392438352e-05,*
LGB,ExSTraCS,1.0,0.00010788943536945537,*
eLCS,XCS,46.0,0.38939799096621563,
eLCS,ExSTraCS,0.0,4.28487350963374e-05,*
XCS,ExSTraCS,2.0,0.00013617760726416692,*
