Algorithm 1,Algorithm 2,Statistic,P-Value,Sig(*)
Naive Bayes,Decision Tree,0.0,7.78275780861261e-05,*
Naive Bayes,Random Forest,32.5,0.09231625570232277,
Naive Bayes,Gradient Boosting,41.5,0.26768140986949673,
Naive Bayes,LGB,21.0,0.014012693222996572,*
Naive Bayes,eLCS,0.0,6.66704263401696e-05,*
Naive Bayes,XCS,0.0,6.66704263401696e-05,*
Naive Bayes,ExSTraCS,0.0,7.828273587717259e-05,*
Decision Tree,Random Forest,0.0,8.731210427609613e-05,*
Decision Tree,Gradient Boosting,0.0,8.438150966477079e-05,*
Decision Tree,LGB,0.0,8.731210427609613e-05,*
Decision Tree,eLCS,16.5,0.005466865551105185,*
Decision Tree,XCS,26.0,0.034648232014911115,*
Decision Tree,ExSTraCS,29.0,0.059491028159142,
Random Forest,Gradient Boosting,45.5,0.37950313426419857,
Random Forest,LGB,38.0,0.18989620306133648,
Random Forest,eLCS,0.0,7.513784942895217e-05,*
Random Forest,XCS,0.0,7.513784942895217e-05,*
Random Forest,ExSTraCS,0.0,8.780776552295432e-05,*
Gradient Boosting,LGB,37.0,0.1674426546724394,
Gradient Boosting,eLCS,0.0,7.251798115363136e-05,*
Gradient Boosting,XCS,0.0,7.251798115363136e-05,*
Gradient Boosting,ExSTraCS,0.0,8.486480433072498e-05,*
LGB,eLCS,0.0,7.513784942895217e-05,*
LGB,XCS,0.0,7.513784942895217e-05,*
LGB,ExSTraCS,0.0,8.780776552295432e-05,*
eLCS,XCS,42.0,0.28012090579524007,
eLCS,ExSTraCS,12.0,0.00204866515891697,*
XCS,ExSTraCS,13.0,0.002309275265415675,*
