Algorithm 1,Algorithm 2,Statistic,P-Value,Sig(*)
Naive Bayes,Decision Tree,10.0,0.0014084528140968727,*
Naive Bayes,Random Forest,30.0,0.0699339557398797,
Naive Bayes,Gradient Boosting,27.0,0.04412616156048907,*
Naive Bayes,LGB,18.0,0.008565913370040182,*
Naive Bayes,eLCS,10.0,0.0012583012284301948,*
Naive Bayes,XCS,10.0,0.0012583012284301948,*
Naive Bayes,ExSTraCS,10.0,0.0014084528140968727,*
Decision Tree,Random Forest,10.0,0.0014084528140968727,*
Decision Tree,Gradient Boosting,20.0,0.012818424817391514,*
Decision Tree,LGB,10.0,0.0014136360455584039,*
Decision Tree,eLCS,10.5,0.0013530056762186948,*
Decision Tree,XCS,8.0,0.0007541131280111318,*
Decision Tree,ExSTraCS,10.0,0.0014136360455584039,*
Random Forest,Gradient Boosting,34.0,0.12012908308332199,
Random Forest,LGB,35.5,0.1445960596143312,
Random Forest,eLCS,10.0,0.0012583012284301948,*
Random Forest,XCS,10.0,0.0012583012284301948,*
Random Forest,ExSTraCS,10.0,0.0014084528140968727,*
Gradient Boosting,LGB,39.0,0.21324231094325874,
Gradient Boosting,eLCS,20.0,0.011994313222311948,*
Gradient Boosting,XCS,20.0,0.011994313222311948,*
Gradient Boosting,ExSTraCS,20.0,0.012818424817391514,*
LGB,eLCS,10.0,0.001263140246541249,*
LGB,XCS,10.0,0.001263140246541249,*
LGB,ExSTraCS,10.0,0.0014136360455584039,*
eLCS,XCS,40.0,0.2312000479058705,
eLCS,ExSTraCS,0.0,7.692317130286052e-05,*
XCS,ExSTraCS,0.0,7.692317130286052e-05,*
