Algorithm 1,Algorithm 2,Statistic,P-Value,Sig(*)
Naive Bayes,Decision Tree,0.0,9.031736040376755e-05,*
Naive Bayes,Random Forest,25.0,0.03166133995099295,*
Naive Bayes,Gradient Boosting,0.0,8.981125249535405e-05,*
Naive Bayes,LGB,10.0,0.0013827096193757106,*
Naive Bayes,eLCS,0.0,7.602660874819985e-05,*
Naive Bayes,XCS,0.0,7.602660874819985e-05,*
Naive Bayes,ExSTraCS,0.0,9.031736040376755e-05,*
Decision Tree,Random Forest,0.0,9.031736040376755e-05,*
Decision Tree,Gradient Boosting,0.0,9.082557304573249e-05,*
Decision Tree,LGB,0.0,9.082557304573249e-05,*
Decision Tree,eLCS,4.5,0.00026935618638659637,*
Decision Tree,XCS,8.0,0.0007541131280111318,*
Decision Tree,ExSTraCS,9.0,0.0011011099712485391,*
Random Forest,Gradient Boosting,0.0,8.981125249535405e-05,*
Random Forest,LGB,31.0,0.08059138534880156,
Random Forest,eLCS,0.0,7.602660874819985e-05,*
Random Forest,XCS,0.0,7.602660874819985e-05,*
Random Forest,ExSTraCS,0.0,9.031736040376755e-05,*
Gradient Boosting,LGB,0.0,9.031736040376755e-05,*
Gradient Boosting,eLCS,0.0,7.647391205932291e-05,*
Gradient Boosting,XCS,0.0,7.647391205932291e-05,*
Gradient Boosting,ExSTraCS,22.5,0.020548775991625492,*
LGB,eLCS,0.0,7.647391205932291e-05,*
LGB,XCS,0.0,7.647391205932291e-05,*
LGB,ExSTraCS,0.0,9.082557304573249e-05,*
eLCS,XCS,40.0,0.2312000479058705,
eLCS,ExSTraCS,0.0,7.692317130286052e-05,*
XCS,ExSTraCS,0.0,7.692317130286052e-05,*
