Algorithm 1,Algorithm 2,Statistic,P-Value,Sig(*)
Naive Bayes,Decision Tree,0.0,9.133589555477501e-05,*
Naive Bayes,Random Forest,18.0,0.008628728041559883,*
Naive Bayes,Gradient Boosting,0.0,9.133589555477501e-05,*
Naive Bayes,LGB,4.0,0.00029141997158963715,*
Naive Bayes,eLCS,0.0,3.193222375218491e-05,*
Naive Bayes,XCS,0.0,3.193222375218491e-05,*
Naive Bayes,ExSTraCS,0.0,9.133589555477501e-05,*
Decision Tree,Random Forest,0.0,9.133589555477501e-05,*
Decision Tree,Gradient Boosting,0.0,9.133589555477501e-05,*
Decision Tree,LGB,0.0,9.133589555477501e-05,*
Decision Tree,eLCS,0.0,3.193222375218491e-05,*
Decision Tree,XCS,0.0,3.193222375218491e-05,*
Decision Tree,ExSTraCS,5.0,0.00038426945658138323,*
Random Forest,Gradient Boosting,4.0,0.00029141997158963715,*
Random Forest,LGB,16.0,0.005664848342237332,*
Random Forest,eLCS,0.0,3.193222375218491e-05,*
Random Forest,XCS,0.0,3.193222375218491e-05,*
Random Forest,ExSTraCS,0.0,9.133589555477501e-05,*
Gradient Boosting,LGB,13.0,0.002897679272167355,*
Gradient Boosting,eLCS,0.0,3.193222375218491e-05,*
Gradient Boosting,XCS,0.0,3.193222375218491e-05,*
Gradient Boosting,ExSTraCS,0.0,9.133589555477501e-05,*
LGB,eLCS,0.0,3.193222375218491e-05,*
LGB,XCS,0.0,3.193222375218491e-05,*
LGB,ExSTraCS,0.0,9.133589555477501e-05,*
eLCS,XCS,NA,1.0,
eLCS,ExSTraCS,0.0,3.193222375218491e-05,*
XCS,ExSTraCS,0.0,3.193222375218491e-05,*
