Algorithm 1,Algorithm 2,Statistic,P-Value,Sig(*)
Naive Bayes,Decision Tree,0.0,9.082557304573249e-05,*
Naive Bayes,Random Forest,30.0,0.06985925582552091,
Naive Bayes,Gradient Boosting,37.0,0.17180670162853712,
Naive Bayes,LGB,18.0,0.008565913370040182,*
Naive Bayes,eLCS,0.0,7.647391205932291e-05,*
Naive Bayes,XCS,0.0,7.647391205932291e-05,*
Naive Bayes,ExSTraCS,0.0,9.082557304573249e-05,*
Decision Tree,Random Forest,0.0,9.031736040376755e-05,*
Decision Tree,Gradient Boosting,0.0,9.031736040376755e-05,*
Decision Tree,LGB,0.0,9.133589555477501e-05,*
Decision Tree,eLCS,10.5,0.0013530056762186948,*
Decision Tree,XCS,8.0,0.0007541131280111318,*
Decision Tree,ExSTraCS,10.0,0.0014136360455584039,*
Random Forest,Gradient Boosting,44.0,0.3383906382966093,
Random Forest,LGB,35.5,0.14450510709367848,
Random Forest,eLCS,0.0,7.602660874819985e-05,*
Random Forest,XCS,0.0,7.602660874819985e-05,*
Random Forest,ExSTraCS,0.0,9.031736040376755e-05,*
Gradient Boosting,LGB,49.0,0.4848965854289707,
Gradient Boosting,eLCS,0.0,7.602660874819985e-05,*
Gradient Boosting,XCS,0.0,7.602660874819985e-05,*
Gradient Boosting,ExSTraCS,0.0,9.031736040376755e-05,*
LGB,eLCS,0.0,7.692317130286052e-05,*
LGB,XCS,0.0,7.692317130286052e-05,*
LGB,ExSTraCS,0.0,9.133589555477501e-05,*
eLCS,XCS,40.0,0.2312000479058705,
eLCS,ExSTraCS,0.0,7.692317130286052e-05,*
XCS,ExSTraCS,0.0,7.692317130286052e-05,*
