Algorithm 1,Algorithm 2,Statistic,P-Value,Sig(*)
Naive Bayes,Decision Tree,0.0,8.930724418684081e-05,*
Naive Bayes,Random Forest,27.0,0.0437056635941609,*
Naive Bayes,Gradient Boosting,0.0,8.880533034448187e-05,*
Naive Bayes,LGB,11.5,0.0019264184206867656,*
Naive Bayes,eLCS,0.0,7.558125624572655e-05,*
Naive Bayes,XCS,0.0,7.558125624572655e-05,*
Naive Bayes,ExSTraCS,0.0,8.880533034448187e-05,*
Decision Tree,Random Forest,0.0,8.981125249535405e-05,*
Decision Tree,Gradient Boosting,28.0,0.05185970087812936,
Decision Tree,LGB,0.0,8.780776552295432e-05,*
Decision Tree,eLCS,16.0,0.004963976167482443,*
Decision Tree,XCS,22.5,0.018517270560374298,*
Decision Tree,ExSTraCS,16.0,0.005542423339176193,*
Random Forest,Gradient Boosting,0.0,8.930724418684081e-05,*
Random Forest,LGB,29.5,0.06332563269707216,
Random Forest,eLCS,0.0,7.602660874819985e-05,*
Random Forest,XCS,0.0,7.602660874819985e-05,*
Random Forest,ExSTraCS,0.0,8.930724418684081e-05,*
Gradient Boosting,LGB,0.5,0.00010094157790550135,*
Gradient Boosting,eLCS,1.0,0.00010315056238804702,*
Gradient Boosting,XCS,8.5,0.0008491054144974921,*
Gradient Boosting,ExSTraCS,30.5,0.07507917425407788,
LGB,eLCS,0.0,7.425685236497103e-05,*
LGB,XCS,0.0,7.425685236497103e-05,*
LGB,ExSTraCS,1.0,0.00011784323285177625,*
eLCS,XCS,46.0,0.39329057658953787,
eLCS,ExSTraCS,0.0,7.602660874819985e-05,*
XCS,ExSTraCS,1.0,0.00010315056238804702,*
