Algorithm 1,Algorithm 2,Statistic,P-Value,Sig(*)
Naive Bayes,Decision Tree,0.0,7.873987010320747e-05,*
Naive Bayes,Random Forest,33.5,0.10709314829554334,
Naive Bayes,Gradient Boosting,41.0,0.256078966724855,
Naive Bayes,LGB,23.0,0.02002554687110662,*
Naive Bayes,eLCS,0.0,6.194555251362164e-05,*
Naive Bayes,XCS,0.0,6.789266392438352e-05,*
Naive Bayes,ExSTraCS,0.0,7.873987010320747e-05,*
Decision Tree,Random Forest,0.0,8.780776552295432e-05,*
Decision Tree,Gradient Boosting,0.0,8.486480433072498e-05,*
Decision Tree,LGB,0.0,8.731210427609613e-05,*
Decision Tree,eLCS,15.0,0.003675802030224388,*
Decision Tree,XCS,20.0,0.011643259634805612,*
Decision Tree,ExSTraCS,26.0,0.03684144943055687,*
Random Forest,Gradient Boosting,45.5,0.3799524815030875,
Random Forest,LGB,40.0,0.2343177651444075,
Random Forest,eLCS,0.0,6.954828895071275e-05,*
Random Forest,XCS,0.0,7.602660874819985e-05,*
Random Forest,ExSTraCS,0.0,8.780776552295432e-05,*
Gradient Boosting,LGB,36.0,0.15061398097437634,
Gradient Boosting,eLCS,0.0,6.70759937205121e-05,*
Gradient Boosting,XCS,0.0,7.338357659018492e-05,*
Gradient Boosting,ExSTraCS,0.0,8.486480433072498e-05,*
LGB,eLCS,0.0,6.913158435738504e-05,*
LGB,XCS,0.0,7.558125624572655e-05,*
LGB,ExSTraCS,0.0,8.731210427609613e-05,*
eLCS,XCS,48.0,0.45115492667768886,
eLCS,ExSTraCS,12.0,0.0019288512849937496,*
XCS,ExSTraCS,15.5,0.00439808786000617,*
