Algorithm 1,Algorithm 2,Statistic,P-Value,Sig(*)
Naive Bayes,Decision Tree,0.0,0.001953125,*
Naive Bayes,Random Forest,6.0,0.02734375,*
Naive Bayes,Gradient Boosting,0.0,0.001953125,*
Naive Bayes,LGB,0.0,0.001953125,*
Naive Bayes,eLCS,0.0,0.001953125,*
Naive Bayes,XCS,0.0,0.001953125,*
Naive Bayes,ExSTraCS,0.0,0.001953125,*
Decision Tree,Random Forest,0.0,0.001953125,*
Decision Tree,Gradient Boosting,0.0,0.001953125,*
Decision Tree,LGB,0.0,0.001953125,*
Decision Tree,eLCS,0.0,0.001953125,*
Decision Tree,XCS,0.0,0.001953125,*
Decision Tree,ExSTraCS,3.0,0.009765625,*
Random Forest,Gradient Boosting,0.0,0.001953125,*
Random Forest,LGB,2.0,0.005859375,*
Random Forest,eLCS,0.0,0.001953125,*
Random Forest,XCS,0.0,0.001953125,*
Random Forest,ExSTraCS,0.0,0.001953125,*
Gradient Boosting,LGB,2.0,0.005859375,*
Gradient Boosting,eLCS,0.0,0.001953125,*
Gradient Boosting,XCS,0.0,0.001953125,*
Gradient Boosting,ExSTraCS,0.0,0.001953125,*
LGB,eLCS,0.0,0.001953125,*
LGB,XCS,0.0,0.001953125,*
LGB,ExSTraCS,0.0,0.001953125,*
eLCS,XCS,NA,1.0,
eLCS,ExSTraCS,10.0,0.083984375,
XCS,ExSTraCS,10.0,0.083984375,
