Algorithm 1,Algorithm 2,Statistic,P-Value,Sig(*)
Naive Bayes,Decision Tree,0.0,0.001953125,*
Naive Bayes,Random Forest,13.0,0.16015625,
Naive Bayes,Gradient Boosting,11.0,0.10546875,
Naive Bayes,LGB,5.0,0.038151710173415135,*
Naive Bayes,eLCS,0.0,0.001953125,*
Naive Bayes,XCS,0.0,0.001953125,*
Naive Bayes,ExSTraCS,0.0,0.001953125,*
Decision Tree,Random Forest,0.0,0.001953125,*
Decision Tree,Gradient Boosting,0.0,0.001953125,*
Decision Tree,LGB,0.0,0.001953125,*
Decision Tree,eLCS,1.0,0.010862224704815628,*
Decision Tree,XCS,0.0,0.001953125,*
Decision Tree,ExSTraCS,3.0,0.009765625,*
Random Forest,Gradient Boosting,19.0,0.6784023758521882,
Random Forest,LGB,11.0,0.1730709208049953,
Random Forest,eLCS,0.0,0.001953125,*
Random Forest,XCS,0.0,0.001953125,*
Random Forest,ExSTraCS,0.0,0.001953125,*
Gradient Boosting,LGB,22.0,0.9527650219907529,
Gradient Boosting,eLCS,0.0,0.001953125,*
Gradient Boosting,XCS,0.0,0.001953125,*
Gradient Boosting,ExSTraCS,0.0,0.001953125,*
LGB,eLCS,0.0,0.001953125,*
LGB,XCS,0.0,0.001953125,*
LGB,ExSTraCS,0.0,0.001953125,*
eLCS,XCS,21.0,0.556640625,
eLCS,ExSTraCS,0.0,0.001953125,*
XCS,ExSTraCS,0.0,0.001953125,*
